T0  legunse2 phaosaw2 sdasgup3 xchen106 
T1  jmullin2 fmustaf2 sunakim1 mschmid2 minli3 wpanthe2 dzhang29 gandhi23  
T2  batra3 mszymu2 mgathma2 staszel1 chachon2 bailey27   
T3  adike2 sadkhin2 jcwatts2 mhubbs2 situka2 ababan2 wbruce2  
T4  boice3 mhgoldm2 overgaa2 hdecker2 asolima2 ssayef2   
T5  sombeck1 liu281 schimpf1 wozniew1 choi196 toomey1 kshu2 yu110  
T6  harish2 roh7 dlquach2 chrzano1 hlim10 huq2 hjiang25 hadiwij2   
T7  getty3 atruon5 neunabe1 yizhou4 garciac2 sipeili2 blasing2 paek2   
T8  rhannah2 schweik1 ramrakh2 tokuhir1 feng30 zliao8 manguto2 cliu78  
T9  scha3 ackerma9 echuber2 binjraj1 naguo2 mchen71 roth15 nordeen1  
T10   bajekal1 caffrey1 gu21 zkang3 gli24 jniu4 christ39 termaat1  
T11   zfei2 jzhng117 vanvalz1 lung3 rfan4 yjiang16 meyer30 graff4  
T12   huang185 modong2 canaday1 tang39 slee361 rgirish2 klee137 ren20  
T13   sliu19 askarog1 youn8 sbhttch2 albrech4 bragg4 osunero1 popov3   
T14   jrohwed2 jzhou31 chen334 braun20 zhang248 ssong25 jsfield2 ahuja6  
T15   malinow5 eisenbe7 ford16 crain3 zhang250 exo1 wyang15 chitkar1   
T16   willing3 shizhi2 wang464 houdek2 sunny3 mcconne7 snnnbrg2 thorsen1   
T17   hymel2 garg14 hebein1 hibner1 njeffre2 schuffe2 verzak1 jeong10  
T18   jcheng26 boctor2 kwchen3 alexan28 briggs11 yzhan108 zhucai2 mei13  
T19   lato2 banker2 halstea2 alzeera1 schopra2 chen320 dwilson pan22   
T20   lowe10 angeluc2 sehgal2 kaczor2 nhandle2 heng3 venegon2 zhou86   
T21   issaran1 snewsum2 mihalko1 shusang2 bajaj10 wang501 politak1 jeung2  
T22   schen79 gajndrn2 idzik1 patenod1 kdperei2 malecki1 meade4 chan100  
T23   shukram1 grage2 zhou96 vspatel2 patel176 etubil2 spotans1 liszews1   
T24   slee117 parasur1 lchen59 tcolson2 aly2 james21 sucich2 lopatin1  
T25   jayasha2 ciurej2 keyang4 bathwal2 li156 zhu72 madigan6 slee279   
T26   draguna1 paulkim6 nbysani2 lzhu14 fangguo1 myagmar2 camargo3 pithadi2  
